Format Version,1.23,Take Name,Take 2023-08-18 03.00.49 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-08-18 03.00.50.093 AM,Capture Start Frame,177424,Total Frames in Take,359,Total Exported Frames,359,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ur5,ur5,ur5,ur5,ur5,ur5,ur5,nist_board,nist_board,nist_board,nist_board,nist_board,nist_board,nist_board
,ID,72E62E473D9311EE711CCB4F034C1DA8,72E62E473D9311EE711CCB4F034C1DA8,72E62E473D9311EE711CCB4F034C1DA8,72E62E473D9311EE711CCB4F034C1DA8,72E62E473D9311EE711CCB4F034C1DA8,72E62E473D9311EE711CCB4F034C1DA8,72E62E473D9311EE711CCB4F034C1DA8,7D6AE1B73D9311EE711CCB4F034C1DA8,7D6AE1B73D9311EE711CCB4F034C1DA8,7D6AE1B73D9311EE711CCB4F034C1DA8,7D6AE1B73D9311EE711CCB4F034C1DA8,7D6AE1B73D9311EE711CCB4F034C1DA8,7D6AE1B73D9311EE711CCB4F034C1DA8,7D6AE1B73D9311EE711CCB4F034C1DA8
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
28,0.233000,-0.000052,-0.000122,-0.000073,1.000000,-1.184523,-0.038888,0.351028,0.000039,0.000034,0.000027,1.000000,-1.029614,-0.147356,0.885912
29,0.242000,-0.000036,-0.000134,-0.000108,1.000000,-1.184525,-0.038887,0.351031,-0.000025,0.000015,0.000066,1.000000,-1.029620,-0.147326,0.885911
30,0.250000,-0.000062,-0.000141,-0.000131,1.000000,-1.184506,-0.038865,0.351028,0.000006,0.000029,0.000027,1.000000,-1.029587,-0.147323,0.885913
31,0.258000,0.000017,-0.000139,-0.000183,1.000000,-1.184504,-0.038866,0.351034,0.000011,0.000054,0.000034,1.000000,-1.029598,-0.147321,0.885910
32,0.267000,-0.000046,-0.000124,-0.000188,1.000000,-1.184512,-0.038888,0.351040,0.000032,0.000050,0.000007,1.000000,-1.029595,-0.147346,0.885924
33,0.275000,-0.000047,-0.000114,-0.000101,1.000000,-1.184517,-0.038900,0.351040,-0.000012,0.000025,0.000044,1.000000,-1.029623,-0.147340,0.885924
34,0.283000,-0.000069,-0.000122,-0.000177,1.000000,-1.184525,-0.038888,0.351043,0.000009,0.000024,0.000034,1.000000,-1.029613,-0.147344,0.885916
35,0.292000,-0.000030,-0.000076,-0.000143,1.000000,-1.184518,-0.038888,0.351041,0.000036,0.000017,-0.000019,1.000000,-1.029606,-0.147359,0.885933
36,0.300000,0.000010,-0.000105,-0.000140,1.000000,-1.184523,-0.038889,0.351036,0.000054,0.000021,-0.000033,1.000000,-1.029616,-0.147364,0.885927
37,0.308000,-0.000035,-0.000118,-0.000121,1.000000,-1.184525,-0.038893,0.351040,-0.000005,0.000008,0.000054,1.000000,-1.029624,-0.147345,0.885925
38,0.317000,-0.000034,-0.000151,-0.000174,1.000000,-1.184524,-0.038875,0.351035,0.000014,0.000024,0.000053,1.000000,-1.029616,-0.147343,0.885916
39,0.325000,-0.000056,-0.000099,-0.000154,1.000000,-1.184514,-0.038882,0.351027,0.000033,0.000027,0.000005,1.000000,-1.029606,-0.147353,0.885934
40,0.333000,-0.000035,-0.000114,-0.000184,1.000000,-1.184520,-0.038886,0.351026,0.000047,0.000032,-0.000005,1.000000,-1.029610,-0.147351,0.885935
41,0.342000,-0.000051,-0.000093,-0.000100,1.000000,-1.184518,-0.038886,0.351028,0.000019,0.000045,0.000014,1.000000,-1.029625,-0.147341,0.885929
42,0.350000,-0.000064,-0.000159,-0.000090,1.000000,-1.184521,-0.038890,0.351032,0.000001,0.000033,0.000025,1.000000,-1.029635,-0.147337,0.885933
43,0.358000,0.000005,-0.000131,-0.000199,1.000000,-1.184526,-0.038886,0.351033,-0.000006,0.000014,0.000018,1.000000,-1.029642,-0.147340,0.885939
44,0.367000,-0.000059,-0.000090,-0.000156,1.000000,-1.184524,-0.038895,0.351028,0.000011,0.000013,0.000019,1.000000,-1.029636,-0.147352,0.885939
45,0.375000,-0.000069,-0.000099,-0.000252,1.000000,-1.184522,-0.038880,0.351023,0.000045,0.000028,-0.000006,1.000000,-1.029634,-0.147354,0.885930
46,0.383000,-0.000094,-0.000136,-0.000144,1.000000,-1.184508,-0.038884,0.351033,0.000018,-0.000006,0.000009,1.000000,-1.029629,-0.147344,0.885943
47,0.392000,0.000004,-0.000082,-0.000148,1.000000,-1.184526,-0.038883,0.351037,0.000048,-0.000003,-0.000020,1.000000,-1.029622,-0.147349,0.885947
48,0.400000,0.000048,-0.000064,-0.000109,1.000000,-1.184524,-0.038895,0.351044,0.000015,0.000003,0.000035,1.000000,-1.029637,-0.147347,0.885940
49,0.408000,0.000023,-0.000081,-0.000180,1.000000,-1.184518,-0.038886,0.351039,0.000023,0.000009,0.000014,1.000000,-1.029626,-0.147350,0.885934
50,0.417000,-0.000015,-0.000128,-0.000275,1.000000,-1.184508,-0.038884,0.351045,0.000040,0.000019,-0.000023,1.000000,-1.029600,-0.147351,0.885950
51,0.425000,-0.000006,-0.000115,-0.000200,1.000000,-1.184515,-0.038883,0.351046,0.000005,0.000018,0.000001,1.000000,-1.029619,-0.147334,0.885942
52,0.433000,-0.000017,-0.000080,-0.000144,1.000000,-1.184541,-0.038889,0.351050,0.000000,0.000022,0.000003,1.000000,-1.029632,-0.147338,0.885942
53,0.442000,0.000007,-0.000081,-0.000191,1.000000,-1.184525,-0.038895,0.351048,0.000013,0.000020,-0.000012,1.000000,-1.029632,-0.147351,0.885945
54,0.450000,0.000021,-0.000152,-0.000400,1.000000,-1.184526,-0.038902,0.351047,0.000019,0.000016,-0.000003,1.000000,-1.029636,-0.147373,0.885947
55,0.458000,0.000064,-0.000134,-0.000338,1.000000,-1.184524,-0.038910,0.351055,0.000008,0.000014,0.000031,1.000000,-1.029643,-0.147374,0.885946
56,0.467000,0.000029,-0.000103,-0.000238,1.000000,-1.184543,-0.038897,0.351064,-0.000022,0.000005,0.000023,1.000000,-1.029649,-0.147362,0.885938
57,0.475000,0.000054,-0.000058,-0.000078,1.000000,-1.184531,-0.038888,0.351065,-0.000017,0.000016,0.000018,1.000000,-1.029632,-0.147344,0.885935
58,0.483000,0.000028,-0.000001,-0.000104,1.000000,-1.184520,-0.038886,0.351064,-0.000025,0.000020,0.000037,1.000000,-1.029619,-0.147333,0.885934
59,0.492000,0.000022,-0.000072,-0.000179,1.000000,-1.184528,-0.038903,0.351061,-0.000036,0.000024,0.000053,1.000000,-1.029624,-0.147349,0.885926
